customer_id,customer_name,age_group,customer_type,loyalty_tier,home_estate,distance_to_store_km
C00001,Simiyu Njeri,36-45,Occasional,Gold,Kahawa Wendani,0.5
C00002,Achieng Juma,46-55,Occasional,Bronze,Kihara,5.0
C00003,Abdullah Hassan,18-25,Occasional,Bronze,Githurai 44,7.4
C00004,Wanjala Mwangi,46-55,Occasional,Silver,Ndenderu,4.3
C00005,Okoth Mutiso,26-35,Regular,Bronze,Kahawa Wendani,0.5
C00006,Wambui Wanjiku,18-25,Premium,Platinum,Green Valley,2.1
C00007,Wanjiku Okoth,36-45,Regular,Silver,Githurai 45,7.4
C00008,Mutiso Ochieng,26-35,Regular,Silver,Ndenderu,0.6
C00009,Mwangi Adhiambo,26-35,Premium,Gold,Ruiru Town Center,3.5
C00010,Wanjala Hassan,18-25,Regular,Silver,Ruiru Sports Club,6.4
C00011,Akinyi Kariuki,18-25,Regular,Bronze,Kahawa Wendani,6.8
C00012,Were Simiyu,26-35,Regular,Gold,Green Valley,4.1
C00013,Adhiambo Kinyua,56+,Premium,Bronze,Ruiru Town Center,2.2
C00014,Nyambura Omondi,36-45,Regular,Gold,Ruiru CBD,5.0
C00015,Maina Adhiambo,18-25,Regular,Bronze,Githurai 44,2.5
C00016,Wambui Simiyu,56+,Regular,Platinum,Ruiru Town Center,2.4
C00017,Ochieng Njeri,36-45,Regular,Bronze,Kimbo,6.6
C00018,Achieng Mwangi,26-35,Occasional,Silver,Githurai 45,1.7
C00019,Wambui Adhiambo,46-55,New,Bronze,Kimbo,0.5
C00020,Wanjala Wanjiku,18-25,Regular,Silver,Kahawa Sukari,3.0
C00021,Mwangi Kinyua,26-35,Regular,Silver,Ruiru Town Center,4.2
C00022,Otieno Abdullah,46-55,Occasional,Gold,Mwiki,5.8
C00023,Wairimu Okoth,46-55,Regular,Platinum,Ruiru Town Center,6.4
C00024,Adhiambo Juma,46-55,New,Bronze,Githurai 44,5.5
C00025,Kiplagat Wanjala,36-45,Premium,Platinum,Green Valley,5.2
C00026,Abdullah Wanjala,56+,Occasional,Bronze,Kimbo,5.5
C00027,Njoroge Otieno,46-55,Regular,Gold,Ruiru CBD,2.5
C00028,Njoroge Maina,46-55,Regular,Silver,Kimbo,3.4
C00029,Simiyu Kariuki,26-35,Regular,Silver,Kihara,5.1
C00030,Ochieng Okoth,18-25,Occasional,Gold,Mwiki,1.0
C00031,Kariuki Okoth,26-35,Occasional,Bronze,Githurai Kimbo,2.7
C00032,Kariuki Wambui,18-25,Regular,Bronze,Githurai 44,3.5
C00033,Wambui Chebet,36-45,Occasional,Silver,Kihara,4.5
C00034,Omondi Kipchoge,46-55,Regular,Bronze,Kihara,4.1
C00035,Muthoni Kamau,26-35,Regular,Silver,Mwiki,5.9
C00036,Kinyua Achieng,36-45,Regular,Silver,Green Valley,4.1
C00037,Ochieng Abdullah,36-45,New,Bronze,Githurai 44,7.3
C00038,Ochieng Mutiso,26-35,Occasional,Gold,Githurai Kimbo,3.4
C00039,Juma Njoroge,26-35,Regular,Bronze,Kimbo,4.4
C00040,Simiyu Hassan,26-35,Regular,Bronze,Kahawa Wendani,0.5
C00041,Were Wairimu,36-45,Occasional,Bronze,Ruiru CBD,2.8
C00042,Kamau Omondi,46-55,Occasional,Gold,Kahawa Wendani,7.0
C00043,Chebet Njeri,18-25,Regular,Gold,Ndenderu,3.0
C00044,Omondi Ochieng,46-55,Occasional,Bronze,Githurai Kimbo,2.4
C00045,Kipchoge Abdullah,36-45,Regular,Silver,Githurai Kimbo,4.6
C00046,Wambui Mumbi,26-35,Occasional,Bronze,Githurai 45,1.1
C00047,Wambui Mutiso,26-35,Occasional,Gold,Githurai Kimbo,4.5
C00048,Wambui Okoth,56+,Occasional,Bronze,Kihara,2.8
C00049,Wairimu Omondi,36-45,Regular,Gold,Mwiki,3.4
C00050,Okoth Were,46-55,New,Bronze,Kahawa Wendani,6.4
C00051,Kariuki Akinyi,46-55,Regular,Silver,Mwiki,5.5
C00052,Otieno Ochieng,56+,Regular,Gold,Githurai 44,3.8
C00053,Wanjiku Mumbi,18-25,Regular,Gold,Kahawa Sukari,4.8
C00054,Mumbi Kiplagat,18-25,Premium,Gold,Ruiru Town Center,6.3
C00055,Nyambura Kiplagat,56+,Regular,Bronze,Kahawa Wendani,6.1
C00056,Adhiambo Ochieng,46-55,Occasional,Bronze,Ruiru Sports Club,1.9
C00057,Muthoni Kariuki,46-55,Occasional,Bronze,Githurai Kimbo,2.8
C00058,Kariuki Kamau,46-55,Regular,Bronze,Kahawa Wendani,3.1
C00059,Mwangi Nyambura,26-35,Regular,Bronze,Mwiki,1.9
C00060,Adhiambo Kiplagat,36-45,Occasional,Silver,Ruiru CBD,0.6
C00061,Nyambura Wanjala,36-45,Premium,Silver,Ruiru Sports Club,1.8
C00062,Wambui Kipchoge,46-55,Regular,Silver,Ruiru Sports Club,6.6
C00063,Abdullah Omondi,18-25,Occasional,Bronze,Kihara,4.6
C00064,Abdullah Abdullah,56+,Regular,Bronze,Ruiru Town Center,3.1
C00065,Juma Maina,18-25,New,Gold,Githurai 45,5.1
C00066,Wairimu Maina,56+,Occasional,Bronze,Ndenderu,6.0
C00067,Njeri Njoroge,46-55,Occasional,Silver,Kihara,3.2
C00068,Wanjiku Akinyi,26-35,Regular,Silver,Kahawa Sukari,4.0
C00069,Maina Wambui,46-55,Occasional,Silver,Mwiki,1.0
C00070,Omondi Were,18-25,Premium,Bronze,Ruiru Town Center,5.0
C00071,Wambui Wanjala,26-35,Occasional,Bronze,Kimbo,3.2
C00072,Juma Mutiso,26-35,Regular,Silver,Mwiki,3.8
C00073,Wambui Kiplagat,46-55,Occasional,Silver,Githurai 45,3.7
C00074,Wanjala Mwangi,26-35,Regular,Platinum,Ruiru Sports Club,5.2
C00075,Ochieng Omondi,36-45,Occasional,Bronze,Ruiru Sports Club,4.8
C00076,Muthoni Simiyu,26-35,Regular,Platinum,Ruiru Town Center,3.7
C00077,Wanjala Ochieng,26-35,Regular,Silver,Githurai 44,0.6
C00078,Omondi Simiyu,26-35,Regular,Bronze,Kihara,5.2
C00079,Chebet Chebet,56+,Premium,Gold,Ruiru Town Center,7.1
C00080,Omondi Adhiambo,36-45,Occasional,Silver,Green Valley,6.3
C00081,Kiplagat Kipchoge,36-45,Occasional,Silver,Mwiki,7.9
C00082,Achieng Akinyi,26-35,Occasional,Bronze,Githurai 44,1.5
